UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target
1,7003,2,298.1,308.6,1551,42.8,0,0
2,1003,1,298.2,308.7,1408,46.3,3,0
3,1004,1,298.1,308.5,1498,49.4,5,0
4,1005,1,298.2,308.6,1433,39.5,7,0
5,1006,1,298.2,308.7,1408,40.0,9,0
6,7004,2,298.1,308.6,1425,41.9,11,0
7,1007,1,298.1,308.6,1558,42.4,14,0
8,1008,1,298.1,308.6,1527,40.2,16,0
9,7005,2,298.3,308.7,1667,28.6,18,0
10,7006,2,298.5,309.0,1741,28.0,21,0
11,0,0,298.4,308.9,1782,23.9,24,0
12,1,0,298.6,309.1,1423,44.3,29,0
13,7007,2,298.6,309.1,1339,51.1,34,0
14,7008,2,298.6,309.2,1742,30.0,37,0
15,1009,1,298.6,309.2,2035,19.6,40,0
16,1010,1,298.6,309.2,1542,48.4,42,0
17,7009,2,298.6,309.2,1311,46.6,44,0
18,7010,2,298.7,309.2,1410,45.6,47,0
19,2,0,298.8,309.2,1306,54.5,50,0
20,7011,2,298.9,309.3,1632,32.5,55,0
21,3,0,298.9,309.3,1375,42.7,58,0
22,1011,1,298.8,309.3,1450,44.8,63,0
23,7012,2,298.9,309.3,1581,30.7,65,0
24,1012,1,299.0,309.4,1758,25.7,68,0
25,7013,2,299.0,309.4,1561,37.3,70,0
26,1013,1,299.0,309.5,1861,23.3,73,0
27,1014,1,299.1,309.5,1512,39.0,75,0
28,4,0,299.1,309.4,1811,24.6,77,0
29,1015,1,299.1,309.4,1439,44.2,82,0
30,1016,1,299.0,309.4,1693,30.1,84,0
31,7014,2,299.1,309.5,1339,48.2,86,0
32,1017,1,299.0,309.4,1798,25.5,89,0
33,1018,1,299.0,309.4,1419,48.3,91,0
34,1019,1,298.9,309.3,1665,32.5,93,0
35,7015,2,298.8,309.1,1559,34.7,95,0
36,7016,2,298.8,309.2,1452,48.6,98,0
37,7017,2,298.9,309.2,1581,36.7,101,0
38,1020,1,298.8,309.1,1439,39.2,104,0
39,5,0,298.9,309.2,1379,50.7,106,0
40,1021,1,298.8,309.1,1350,52.5,111,0
41,1022,1,298.8,309.1,1362,45.4,113,0
42,1023,1,298.8,309.1,1368,50.8,115,0
43,7018,2,298.8,309.1,1368,49.1,117,0
44,6,0,298.8,309.2,1372,48.5,120,0
45,7019,2,298.8,309.1,1472,47.5,125,0
46,1024,1,298.8,309.1,1489,49.1,128,0
47,7020,2,298.7,309.0,1843,25.8,130,0
48,1025,1,298.8,309.1,1418,46.3,133,0
49,7,0,298.8,309.2,1425,53.9,135,0
50,7021,2,298.9,309.2,1412,44.1,140,0
51,1026,1,298.9,309.1,2861,4.6,143,1
52,1027,1,298.9,309.1,1383,54.9,145,0
53,8,0,298.8,309.0,1497,43.8,147,0
54,1028,1,298.7,309.0,1565,35.1,152,0
55,1029,1,298.7,309.0,1691,30.1,154,0
56,1030,1,298.8,309.1,1512,40.7,156,0
57,1031,1,298.8,309.1,1477,42.4,158,0
58,1032,1,298.8,309.1,1513,40.3,160,0
59,7022,2,298.8,309.0,1661,29.5,162,0
60,1033,1,298.8,309.1,1378,54.4,165,0
61,1034,1,298.8,309.1,1393,52.6,167,0
62,7023,2,298.8,309.0,1592,38.2,169,0
63,1035,1,298.8,309.0,1829,22.9,172,0
64,7024,2,298.9,309.0,1812,25.9,174,0
65,1036,1,299.0,309.1,1523,38.6,177,0
66,1037,1,299.0,309.1,1394,45.1,179,0
67,7025,2,298.9,308.9,1679,28.7,181,0
68,9,0,298.8,308.9,1466,44.1,184,0
69,1038,1,298.8,308.9,1527,32.4,189,0
70,1039,1,298.9,309.0,1410,65.7,191,1
71,7026,2,298.9,309.0,1924,22.6,193,0
72,1040,1,298.9,309.1,1452,45.5,196,0
73,1041,1,298.9,309.1,1369,44.4,198,0
74,1042,1,299.0,309.1,1592,35.0,200,0
75,1043,1,298.9,309.0,1601,32.3,202,0
76,1044,1,298.8,308.9,1379,46.7,204,0
77,1045,1,298.8,308.9,1461,47.9,206,0
78,1046,1,298.8,308.9,1455,41.3,208,1
79,1047,1,298.8,308.9,1398,51.5,0,0
80,1048,1,298.8,308.9,1402,37.9,2,0
81,10,0,298.8,308.8,1445,49.9,4,0
82,1049,1,298.9,308.9,1450,47.5,9,0
83,1050,1,298.9,308.9,1453,40.8,11,0
84,1051,1,299.0,309.0,1469,40.1,13,0
85,1052,1,298.9,308.9,1422,47.6,15,0
86,7027,2,299.0,309.0,1804,26.8,17,0
87,11,0,299.0,309.0,1436,43.9,20,0
88,1053,1,299.0,309.0,1544,31.8,25,0
89,7028,2,299.0,309.0,1419,45.2,27,0
90,7029,2,298.9,308.9,1487,39.5,30,0
91,1054,1,298.9,308.9,1753,25.8,33,0
92,1055,1,298.9,308.9,1830,24.9,35,0
93,7030,2,298.9,308.9,1727,27.1,37,0
94,1056,1,299.1,309.0,1450,43.0,40,0
95,1057,1,299.0,308.9,1622,31.9,42,0
96,7031,2,299.0,309.0,1351,52.2,44,0
97,7032,2,299.0,309.0,1575,35.3,47,0
98,7033,2,298.9,308.9,1750,29.9,50,0
99,1058,1,298.9,308.8,1529,32.7,53,0
100,1059,1,298.8,308.8,1523,44.4,55,0
101,1060,1,298.8,308.9,1852,25.0,57,0
102,1061,1,298.8,308.8,1991,20.7,59,0
103,1062,1,298.8,308.8,1555,40.6,61,0
104,7034,2,298.8,308.8,1441,40.5,63,0
105,1063,1,298.8,308.7,1450,43.4,66,0
106,1064,1,298.8,308.7,1591,31.1,68,0
107,1065,1,298.8,308.7,1445,48.5,70,0
108,7035,2,298.8,308.8,1497,46.8,72,0
109,12,0,298.9,308.8,1621,32.7,75,0
110,1066,1,298.9,308.7,1572,34.1,80,0
111,1067,1,298.8,308.6,1872,22.5,82,0
112,13,0,298.7,308.6,1499,43.5,84,0
113,7036,2,298.8,308.7,1498,39.5,89,0
114,7037,2,298.8,308.6,1486,41.9,92,0
115,1068,1,298.8,308.6,1680,29.4,95,0
116,1069,1,298.8,308.6,1431,45.7,97,0
117,1070,1,298.9,308.7,1564,34.1,99,0
118,1071,1,298.8,308.6,1599,33.0,101,0
119,7038,2,298.8,308.6,1707,28.1,103,0
120,1072,1,298.7,308.5,1467,40.7,106,0
121,1073,1,298.9,308.7,1433,44.7,108,0
122,1074,1,298.9,308.7,1558,41.2,110,0
123,1075,1,299.0,308.8,1310,50.7,112,0
124,1076,1,298.9,308.7,1546,43.4,114,0
125,1077,1,298.9,308.7,1727,29.4,116,0
126,1078,1,298.9,308.6,1560,32.2,118,0
127,1079,1,299.0,308.6,1329,60.5,120,0
128,1080,1,298.9,308.6,1413,46.5,122,0
129,1081,1,299.0,308.6,1587,38.6,124,0
130,1082,1,298.9,308.5,1559,34.3,126,0
131,1083,1,298.8,308.4,1473,41.1,128,0
132,1084,1,298.8,308.4,1737,27.7,130,0
133,7039,2,298.7,308.4,1441,43.2,132,0
134,7040,2,298.7,308.4,1430,49.6,135,0
135,1085,1,298.8,308.4,1369,53.0,138,0
136,7041,2,298.8,308.5,1711,28.5,140,0
137,14,0,298.7,308.5,1420,45.7,143,0
138,1086,1,298.7,308.6,1297,55.3,148,0
139,15,0,298.8,308.6,1449,49.4,150,0
140,1087,1,298.8,308.6,1268,55.8,155,0
141,1088,1,298.8,308.6,1511,36.1,157,0
142,1089,1,298.7,308.5,1544,35.2,159,0
143,7042,2,298.6,308.4,1778,28.2,161,0
144,16,0,298.6,308.4,1407,50.5,164,0
145,7043,2,298.6,308.4,1391,42.4,169,0
146,1090,1,298.5,308.4,1513,33.6,172,0
147,17,0,298.5,308.4,1612,36.1,174,0
148,1091,1,298.4,308.4,1515,40.1,179,0
149,7044,2,298.3,308.3,1379,48.0,181,0
150,1092,1,298.4,308.3,1473,39.9,184,0
151,1093,1,298.4,308.3,1422,42.7,186,0
